Time,Motion,Target,Details,Cam_Position,Cam_FocalPoint,Cam_Distance,Sister1,inside/outside_1,Number_of_neighbors,Sister2,inside/outside_2,Sister2_in_Neighborhood
179.413486,Rotate,MainView,-,"(204.62119553349277, -225.8439521655813, -89.36165555774357)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363325,116,outside,7,87,inside,-
179.430185,Rotate,MainView,-,"(176.68445923929005, -226.2125258358553, -112.21289699831436)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363325,116,outside,7,87,inside,-
179.447035,Rotate,MainView,-,"(152.0586384618291, -223.8356113248919, -130.12826654215)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
179.463106,Rotate,MainView,-,"(131.40541559847503, -220.07234933802596, -143.69435260353393)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363325,116,outside,7,87,inside,-
179.479933,Rotate,MainView,-,"(110.4344606772223, -214.69674460809247, -156.187485514391)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
179.496760,Rotate,MainView,-,"(90.45331697585047, -208.16906116362, -166.93185696505188)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363325,116,outside,7,87,inside,-
179.513472,Rotate,MainView,-,"(69.23572769807576, -199.7619983130447, -177.12458211175203)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363325,116,outside,7,87,inside,-
179.529842,Rotate,MainView,-,"(62.17131185915586, -196.62634521163096, -180.24080082963766)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
179.546486,Rotate,MainView,-,"(59.818963228945826, -195.54475984981792, -181.24757222993995)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
179.563640,Rotate,MainView,-,"(59.084939556810454, -196.2925678069223, -180.33584771183263)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363314,116,outside,7,87,inside,-
179.580469,Rotate,MainView,-,"(59.084939556810454, -196.2925678069223, -180.33584771183263)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363314,116,outside,7,87,inside,-
179.596457,Rotate,MainView,-,"(58.351311605095155, -197.03584957934757, -179.42011231111678)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363314,116,outside,7,87,inside,-
179.613236,Rotate,MainView,-,"(57.17571268485557, -196.48826961362016, -179.91747781931713)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
179.629791,Rotate,MainView,-,"(56.44250561163346, -197.22701626291934, -178.99774423571364)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363314,116,outside,7,87,inside,-
179.646415,Rotate,MainView,-,"(55.2673457403444, -196.67489935429683, -179.491115581666)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
179.663976,Rotate,MainView,-,"(54.53459588235067, -197.40910728412032, -178.56739189447578)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
179.679962,Rotate,MainView,-,"(190.41605936162446, -229.0082617969707, -96.03003117838003)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236331,116,outside,7,87,inside,-
179.696952,Rotate,MainView,-,"(190.41605936162446, -229.0082617969707, -96.03003117838003)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236331,116,outside,7,87,inside,-
179.713393,Rotate,MainView,-,"(189.68249836243731, -229.73762148363647, -95.10311597361738)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236331,116,outside,7,87,inside,-
179.729955,Rotate,MainView,-,"(189.68249836243731, -229.73762148363647, -95.10311597361738)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236331,116,outside,7,87,inside,-
180.372272,Rotate,MainView,-,"(173.81662384077768, -243.84103267462552, -75.11379619384005)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.329670823633,116,outside,7,87,inside,-
180.385549,Rotate,MainView,-,"(173.81662384077768, -243.84103267462552, -75.11379619384005)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.329670823633,116,outside,7,87,inside,-
180.389474,Rotate,MainView,-,"(173.81662384077768, -243.84103267462552, -75.11379619384005)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.329670823633,116,outside,7,87,inside,-
180.401390,Rotate,MainView,-,"(172.73869041381352, -243.86900750552152, -75.98931091373429)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.329670823633,116,outside,7,87,inside,-
180.413116,Rotate,MainView,-,"(171.9624391998962, -244.48175114418092, -75.01400153971178)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.329670823633,116,outside,7,87,inside,-
180.430406,Rotate,MainView,-,"(171.18443468151514, -245.08905114557368, -74.03668645921374)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.329670823633,116,outside,7,87,inside,-
180.446843,Rotate,MainView,-,"(170.40469167075491, -245.6908959475831, -73.0573842789105)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.329670823633,116,outside,7,87,inside,-
180.464211,Rotate,MainView,-,"(169.3250123786087, -245.71342146390322, -73.93090263367301)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236331,116,outside,7,87,inside,-
180.479953,Rotate,MainView,-,"(164.61124956468137, -249.20928900501895, -68.01410781854736)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.329670823633,116,outside,7,87,inside,-
180.497000,Rotate,MainView,-,"(161.3624793616653, -249.24376234058116, -70.62319294115949)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.329670823633,116,outside,7,87,inside,-
180.513945,Rotate,MainView,-,"(159.7782820202816, -250.3648979225546, -68.63564837164876)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.329670823633,116,outside,7,87,inside,-
180.529831,Rotate,MainView,-,"(153.23995365767294, -250.28403885702744, -73.80215924936086)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363297,116,outside,7,87,inside,-
180.546506,Rotate,MainView,-,"(140.0169604399319, -249.52270319565696, -83.91757638777372)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363297,116,outside,7,87,inside,-
180.563533,Rotate,MainView,-,"(125.50716064853756, -247.7980588030468, -94.52170357416357)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.329670823633,116,outside,7,87,inside,-
180.580342,Rotate,MainView,-,"(165.18524364210546, -250.2795069848792, -64.2782563594098)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363297,116,outside,7,87,inside,-
180.597484,Rotate,MainView,-,"(128.87031366554146, -248.27888364087977, -92.10902235206929)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.329670823633,116,outside,7,87,inside,-
180.613222,Rotate,MainView,-,"(117.6303922920733, -246.48355779888502, -100.06738782640937)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.329670823633,116,outside,7,87,inside,-
180.630316,Rotate,MainView,-,"(108.5856705519468, -244.65247404358865, -106.2560663414265)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363297,116,outside,7,87,inside,-
180.647558,Rotate,MainView,-,"(97.23186571177969, -241.87375037581688, -113.7570275340612)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236329,116,outside,7,87,inside,-
180.663292,Rotate,MainView,-,"(83.56558200688758, -237.82792569670778, -122.39489983417708)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236329,116,outside,7,87,inside,-
180.681192,Rotate,MainView,-,"(74.44678450938784, -234.7046778570762, -127.92232744286542)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236329,116,outside,7,87,inside,-
180.696833,Rotate,MainView,-,"(167.3368022640899, -250.20646946618922, -62.52257397286209)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363297,116,outside,7,87,inside,-
180.713373,Rotate,MainView,-,"(138.9070994160933, -249.423214753687, -84.7467685528116)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363297,116,outside,7,87,inside,-
180.730423,Rotate,MainView,-,"(125.50716064853754, -247.79805880304679, -94.52170357416351)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363297,116,outside,7,87,inside,-
180.746550,Rotate,MainView,-,"(109.71840048833195, -244.90047155938782, -105.49142968767765)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236329,116,outside,7,87,inside,-
180.763848,Rotate,MainView,-,"(96.09431024316812, -241.56611954708583, -114.49226893518602)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363285,116,outside,7,87,inside,-
180.780004,Rotate,MainView,-,"(86.98456700084861, -238.9116138033108, -120.27377204015283)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236328,116,outside,7,87,inside,-
180.796919,Rotate,MainView,-,"(167.33680226408984, -250.2064694661891, -62.522573972862084)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363285,116,outside,7,87,inside,-
180.813645,Rotate,MainView,-,"(160.86279951805162, -250.3589302510554, -67.76787232173183)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363285,116,outside,7,87,inside,-
